seed,absolute_min_distance,target_gap_to_black,final_step,final_cv_nnd,pigment_count,yellow_fraction,red_fraction,black_fraction,order_score
7,3.5,6.0,118,0.14365257766905049,171,0.32748538011695905,0.017543859649122806,0.6549707602339181,2.2650323084272035
17,3.5,6.0,119,0.13871671085369403,170,0.3058823529411765,0.029411764705882353,0.6647058823529411,2.110995828955475
27,3.5,6.0,119,0.1371573438958449,176,0.32386363636363635,0.011363636363636364,0.6647727272727273,2.7683672572099365
7,3.5,7.0,119,0.11709326931942322,167,0.31736526946107785,0.023952095808383235,0.6586826347305389,2.452902208118529
17,3.5,7.0,115,0.1420332187008177,155,0.3032258064516129,0.01935483870967742,0.6774193548387096,1.941042069141481
27,3.5,7.0,116,0.14354076171775465,162,0.3271604938271605,0.024691358024691357,0.6481481481481481,1.9105846438315002
7,4.0,3.0,119,0.11355650906723248,164,0.31097560975609756,0.06097560975609756,0.6280487804878049,1.5858145544154627
17,4.0,3.0,119,0.10479879693375939,162,0.3271604938271605,0.030864197530864196,0.6419753086419753,2.33000959848868
27,4.0,3.0,119,0.12470517870030287,154,0.2857142857142857,0.01948051948051948,0.6948051948051948,2.128995285807644
7,4.0,4.0,116,0.11705528926425814,163,0.3374233128834356,0.03680981595092025,0.6257668711656442,1.9772081809960065
17,4.0,4.0,119,0.12001342407419341,169,0.33136094674556216,0.023668639053254437,0.6449704142011834,2.4420363725910215
27,4.0,4.0,119,0.12306528295967582,163,0.32515337423312884,0.018404907975460124,0.656441717791411,2.345426265503871
7,4.0,5.0,116,0.1187018068342076,163,0.31901840490797545,0.03067484662576687,0.6503067484662577,2.1779426758542946
17,4.0,5.0,119,0.12161232109579262,167,0.31736526946107785,0.023952095808383235,0.6586826347305389,2.399426367161915
27,4.0,5.0,119,0.10473754886103578,167,0.32335329341317365,0.03592814371257485,0.6407185628742516,2.3953616870216936
7,4.0,6.0,117,0.10369686113707387,164,0.31097560975609756,0.03048780487804878,0.6585365853658537,2.5408556027924387
17,4.0,6.0,119,0.12352122390389038,167,0.30538922155688625,0.029940119760479042,0.6646706586826348,2.2563782689360394
27,4.0,6.0,119,0.11837062597480923,160,0.24375,0.03125,0.725,2.158318471155867
7,4.0,7.0,119,0.11625993927708367,157,0.27388535031847133,0.03821656050955414,0.6878980891719745,1.942834393851881
17,4.0,7.0,118,0.1130879534448237,161,0.3416149068322981,0.018633540372670808,0.639751552795031,2.4001596600073607
27,4.0,7.0,119,0.13191037675454734,153,0.29411764705882354,0.026143790849673203,0.6797385620915033,1.8020324209756573
